Name,Rank,Number,Percent
BALLARD,503,59660,0.02212
TRUJILLO,504,59609,0.0221
SHAFFER,505,59227,0.02196
DRAKE,506,59055,0.02189
ROMAN,507,59020,0.02188
AGUIRRE,508,58918,0.02184
MORTON,509,58788,0.02179
STOKES,510,58687,0.02176
LAMB,511,58555,0.02171
PACHECO,512,58534,0.0217
PATRICK,513,58257,0.0216
COCHRAN,514,58233,0.02159
SHEPHERD,515,57935,0.02148
CAIN,516,57873,0.02145
BURNETT,517,57859,0.02145
HESS,518,57822,0.02143
LI,519,57786,0.02142
CERVANTES,520,57685,0.02138
OLSEN,521,57357,0.02126
BRIGGS,522,57297,0.02124
OCHOA,523,57210,0.02121
CABRERA,524,57171,0.02119
VELASQUEZ,525,57163,0.02119
MONTOYA,526,57075,0.02116
ROTH,527,57030,0.02114
MEYERS,528,56744,0.02103
CARDENAS,529,56618,0.02099
FUENTES,530,56441,0.02092
WEISS,531,56153,0.02082
HOOVER,532,56068,0.02078
WILKINS,532,56068,0.02078
NICHOLSON,534,55986,0.02075
UNDERWOOD,535,55973,0.02075
SHORT,536,55903,0.02072
CARSON,537,55821,0.02069
MORROW,538,55664,0.02063
COLON,539,55512,0.02058
HOLLOWAY,540,55466,0.02056
SUMMERS,541,55391,0.02053
BRYAN,542,55269,0.02049
PETERSEN,543,55185,0.02046
MCKENZIE,544,55084,0.02042
SERRANO,545,55057,0.02041
WILCOX,546,54987,0.02038
CAREY,547,54924,0.02036
CLAYTON,548,54875,0.02034
POOLE,549,54706,0.02028
CALDERON,550,54691,0.02027
GALLEGOS,551,54672,0.02027
GREER,552,54611,0.02024
RIVAS,553,54588,0.02024
GUERRA,554,54575,0.02023
DECKER,555,54450,0.02018
COLLIER,556,54414,0.02017
WALL,557,54401,0.02017
WHITAKER,558,54343,0.02014
BASS,559,54296,0.02013
FLOWERS,560,54277,0.02012
DAVENPORT,561,54206,0.02009
CONLEY,562,54194,0.02009
HOUSTON,563,54026,0.02003
HUFF,564,53892,0.01998
COPELAND,565,53771,0.01993
HOOD,566,53737,0.01992
MONROE,567,53475,0.01982
MASSEY,568,53459,0.01982
ROBERSON,569,53198,0.01972
COMBS,570,53180,0.01971
FRANCO,571,53161,0.01971
LARSEN,572,52963,0.01963
PITTMAN,573,52689,0.01953
RANDALL,574,52495,0.01946
SKINNER,575,52490,0.01946
WILKINSON,576,52483,0.01946
KIRBY,577,52473,0.01945
CAMERON,578,52439,0.01944
BRIDGES,579,52260,0.01937
ANTHONY,580,52146,0.01933
RICHARD,581,52138,0.01933
KIRK,582,52056,0.0193
BRUCE,583,52004,0.01928
SINGLETON,584,51797,0.0192
