Name,Rank,Number,Percent
DEANN,988,12145,0.008
DEANNA,261,115375,0.076
DEANNE,842,16699,0.011
DEBBIE,141,238340,0.157
DEBORA,580,33398,0.022
DEBORAH,25,749937,0.494
DEBRA,39,619381,0.408
DEE,698,24289,0.016
DEENA,897,15181,0.01
DEIDRE,871,15181,0.01
DEIRDRE,878,15181,0.01
DELIA,462,44025,0.029
DELLA,376,65278,0.043
DELORES,222,144219,0.095
DELORIS,515,37952,0.025
DENA,571,33398,0.022
DENISE,74,400776,0.264
DESIREE,425,53133,0.035
DIANA,96,327908,0.216
DIANE,50,544995,0.359
DIANN,952,13663,0.009
DIANNA,418,54651,0.036
DIANNE,279,104748,0.069
DINA,583,33398,0.022
DIONNE,945,13663,0.009
DIXIE,481,42507,0.028
DOLLIE,825,16699,0.011
DOLLY,692,24289,0.016
DOLORES,171,195834,0.129
DOMINIQUE,672,24289,0.016
DONA,752,21253,0.014
DONNA,17,885047,0.583
DORA,249,127520,0.084
DOREEN,422,53133,0.035
DORIS,55,508560,0.335
DOROTHEA,587,31880,0.021
DOROTHY,10,1103652,0.727
DORTHY,527,37952,0.025
EARLENE,811,18217,0.012
EARLINE,740,21253,0.014
EARNESTINE,803,18217,0.012
EBONY,492,40988,0.027
EDDIE,857,16699,0.011
EDITH,117,271738,0.179
EDNA,109,299064,0.197
EDWINA,821,16699,0.011
EFFIE,529,36434,0.024
EILEEN,205,159400,0.105
ELAINE,127,262630,0.173
ELBA,984,12145,0.008
ELEANOR,148,227714,0.15
ELENA,412,56169,0.037
ELINOR,798,18217,0.012
ELISA,491,40988,0.027
ELISABETH,558,34916,0.023
ELISE,609,28844,0.019
ELIZA,718,22771,0.015
ELIZABETH,5,1422451,0.937
ELLA,210,153327,0.101
ELLEN,126,262630,0.173
ELMA,669,25808,0.017
ELNORA,755,21253,0.014
ELOISE,442,48579,0.032
ELSA,477,42507,0.028
ELSIE,198,166990,0.11
ELVA,553,36434,0.024
ELVIA,876,15181,0.01
ELVIRA,460,44025,0.029
